 1  64.69  0.42  1  0 12.55
 0  90.98  0.57  1  0  6.52
 1  85.75  0.23  1  0  1.91
 1  82.53  0.96  0  0  2.88
 1  92.56  0.33  1  0  1.44
 1  99.70  0.84  0  1  1.40
 1  60.30  0.84  1  0  0.99
 1  86.10  0.86  0  1  0.92
 0  69.02  0.57  0  1  0.88
 0  87.33  0.46  0  0  2.03
 1  90.98  0.57  0  0  0.87
 1  97.46  0.51  1  1  1.64
 0  89.33  1.30  1  1  1.17
 1  61.05  0.62  1  1  1.76
 0  72.67  0.46  0  0  1.02
 0  85.75  0.23  0  1  1.16
 1  89.33  0.27  1  0  0.87
 0  77.42  1.17  1  1  2.37
 0  67.44  0.33  0  1  0.80
 0  62.54  0.51  0  0  1.03
 0  92.56  1.24  1  1  0.79
 0  77.47  0.61  1  0  2.56
 0  78.06  1.37  1  0  0.86
 1  92.56  1.24  0  0  1.79
 0  81.94  1.37  1  1  0.75
 0  70.67  1.30  0  0  1.15
 0  85.75  1.34  1  1  0.82
 0  86.10  0.71  1  1  0.54
 1  73.90  0.71  0  1  0.96
 1  77.42  0.40  1  0  1.12
 0  89.33  0.27  0  0  1.03
 0  77.47  0.96  1  0  1.92
 1  92.95  0.71  0  1  0.91
 1  78.06  0.21  1  0  0.92
 0  98.95  0.95  1  1  0.95
 1  64.69  1.16  1  1  1.02
 1  85.75  1.34  0  0  0.94
 0  97.46  0.51  0  0  0.82
 0  99.70  0.73  1  0  0.78
 0  95.31  1.16  1  1  1.14
 0  70.67  0.27  0  1  0.69
 0  95.31  0.42  0  0  0.97
 1  97.46  1.06  0  1  1.46
 1  82.53  0.61  0  1  1.44
 1  98.95  0.62  0  1  0.75
 1  74.25  1.34  0  0  1.04
 0  69.02  1.00  0  0  1.02
 0  82.58  0.40  0  1  1.58
 0  73.90  0.86  1  1  0.70
 1  70.67  0.27  1  0  0.78
 0  97.46  1.06  1  1  1.08
 0  67.05  0.86  0  1  1.73
 1  77.47  0.96  0  1  1.23
 0  82.53  0.96  1  0  1.41
 1  69.02  1.00  1  0  1.01
 1  77.47  0.61  0  1  0.77
 0  60.30  0.84  0  1  0.97
 1  73.90  0.86  0  0  0.96
 0  60.30  0.73  0  0  0.98
 1  77.42  1.17  0  1  1.10
 1  70.67  1.30  1  1  0.75
 0  67.05  0.71  0  1  0.89
 1  95.31  0.42  1  0  0.80
 1  69.02  0.57  1  1  0.95
 1  67.44  0.33  1  1  1.19
 0  67.44  1.24  0  0  0.79
 0  82.53  0.61  1  1  0.80
 0  74.25  1.34  1  0  0.67
 1  74.25  0.23  1  0  1.31
 0  82.58  1.17  1  0  0.99
 0  61.05  0.62  0  1  0.74
 1  62.54  1.06  1  1  1.93
 0  81.94  0.21  0  0  0.65
 0  86.10  0.86  1  1  0.38
 1  67.05  0.71  1  0  0.91
 1  98.95  0.95  0  0  0.54
 1  86.10  0.71  0  1  0.61
 0  92.95  0.71  1  1  0.82
 1  62.54  0.51  1  0  0.60
 1  67.05  0.86  1  0  0.60
 0  61.05  0.95  0  0  0.98
 1  82.58  1.17  0  1  1.06
 0  74.25  0.23  0  0  1.92
 0  62.54  1.06  0  1  1.16
 1  99.70  0.73  0  0  0.93
 1  81.94  0.21  1  0  0.92
 1  81.94  1.37  0  0  0.58
 1  89.33  1.30  0  1  0.57
 0  99.70  0.84  1  1  0.98
 1  90.98  1.00  0  1  1.37
 0  98.95  0.62  1  0  1.66
 1  60.30  0.73  1  0  1.17
 0  73.90  0.71  1  1  2.47
 1  92.95  0.86  0  0  1.76
 0  90.98  1.00  1  0  0.91
 0  92.95  0.86  1  0  1.03
 0  64.69  0.42  0  1  1.02
 1  78.06  1.37  0  1  0.66
 0  87.33  1.11  1  0  0.74
 1  72.67  1.11  0  0  0.88
 1  61.05  0.95  1  1  0.76
 0  64.69  1.16  0  0  1.16
 1  72.67  0.46  1  1  1.11
 1  87.33  0.46  1  0  1.36
 1  87.33  1.11  0  0  0.79
 1  95.31  1.16  0  1  0.49
 0  77.42  0.40  0  1  0.73
 1  82.58  0.40  1  1  0.88
 0  92.56  0.33  0  0  0.69
 0  78.06  0.21  0  0  0.74
 0  72.67  1.11  1  1  1.84
 1  67.44  1.24  1  0  0.59
 0  67.44  1.24  0  1  3.65
 1  77.47  0.96  0  1  1.59
 0  62.54  0.51  0  0  1.11
 0  86.10  0.71  1  1  0.79
 1  82.53  0.61  0  0  0.88
 1  61.05  0.95  1  0  0.96
 1  99.70  0.84  0  1  0.61
 0  95.31  1.16  1  0  0.80
 1  74.25  1.34  0  1  0.42
 0  61.05  0.62  0  1  0.82
 0  64.69  0.42  0  0  0.73
 0  60.30  0.84  0  1  0.71
 1  64.69  0.42  1  0  0.43
 0  95.31  0.42  0  1  1.59
 0  77.42  0.40  0  0  0.46
 1  62.54  1.06  1  1  0.99
 0  73.90  0.71  1  0  0.56
 1  82.53  0.96  0  1  0.92
 1  69.02  0.57  1  0  0.74
 1  81.94  0.21  1  0  1.06
 0  92.95  0.71  1  1  0.60
 0  67.05  0.71  0  0  0.59
 0  99.70  0.73  1  1  0.93
 1  92.56  0.33  1  1  0.65
 0  77.47  0.96  1  0  0.66
 0  82.53  0.61  1  0  0.98
 1  85.75  1.34  0  1  0.63
 1  78.06  0.21  1  0  1.32
 1  60.30  0.84  1  0  0.84
 0  74.25  1.34  1  1  0.77
 0  77.47  0.61  1  0  0.61
 0  98.95  0.62  1  0  0.79
 1  90.98  0.57  0  1  0.50
 0  87.33  1.11  1  1  1.50
 0  72.67  0.46  0  1  0.99
 1  95.31  0.42  1  0  1.35
 1  67.44  1.24  1  0  0.77
 1  89.33  1.30  0  0  1.18
 1  98.95  0.62  0  1  0.30
 0  82.53  0.96  1  0  0.71
 0  82.58  0.40  0  1  0.52
 1  69.02  1.00  1  1  0.56
 0  82.58  1.17  1  1  0.69
 1  87.33  1.11  0  0  0.35
 1  82.58  1.17  0  0  0.74
 0  70.67  0.27  0  1  0.38
 0  61.05  0.95  0  0  0.40
 1  85.75  0.23  1  0  0.37
 0  78.06  0.21  0  1  0.35
 1  67.05  0.86  1  1  0.35
 1  73.90  0.86  0  0  0.66
 0  86.10  0.86  1  0  0.59
 0  69.02  0.57  0  1  0.57
 1  98.95  0.95  0  0  0.77
 1  67.44  0.33  1  0  0.34
 0  99.70  0.84  1  1  0.32
 0  64.69  1.16  0  1  0.48
 1  97.46  0.51  1  0  0.33
 0  90.98  1.00  1  0  0.39
 1  62.54  0.51  1  0  0.59
 1  72.67  0.46  1  1  0.31
 0  60.30  0.73  0  1  0.73
 1  81.94  1.37  0  0  0.42
 1  92.95  0.86  0  0  0.64
 0  78.06  1.37  1  0  0.50
 0  67.44  0.33  0  1  0.45
 0  81.94  0.21  0  0  0.32
 1  97.46  1.06  0  1  0.49
 1  61.05  0.62  1  0  0.41
 1  77.47  0.61  0  0  0.53
 1  74.25  0.23  1  1  0.39
 1  87.33  0.46  1  1  0.53
 0  74.25  0.23  0  0  0.78
 1  70.67  0.27  1  1  0.94
 0  89.33  0.27  0  0  0.57
 1  99.70  0.73  0  0  1.06
 0  67.05  0.86  0  1  0.99
 0  92.56  0.33  0  0  0.55
 0  62.54  1.06  0  1  0.91
 1  72.67  1.11  0  0  0.67
 1  77.42  0.40  1  0  0.65
 1  86.10  0.86  0  1  0.58
 1  77.42  1.17  0  0  0.43
 1  95.31  1.16  0  1  0.40
 1  64.69  1.16  1  1  0.59
 1  92.95  0.71  0  0  0.54
 0  98.95  0.95  1  0  1.94
 0  87.33  0.46  0  0  0.58
 1  70.67  1.30  1  1  0.35
 0  85.75  1.34  1  1  0.67
 0  69.02  1.00  0  1  0.39
 0  85.75  0.23  0  1  0.41
 0  97.46  0.51  0  0  0.34
 1  60.30  0.73  1  0  0.48
 1  89.33  0.27  1  1  0.35
 0  70.67  1.30  0  0  0.39
 0  97.46  1.06  1  1  1.12
 0  77.42  1.17  1  0  0.58
 1  73.90  0.71  0  0  1.72
 0  81.94  1.37  1  1  0.55
 0  92.56  1.24  1  0  0.43
 0  72.67  1.11  1  0  0.33
 1  78.06  1.37  0  1  0.48
 1  90.98  1.00  0  1  8.83
 1  86.10  0.71  0  0  0.43
 1  67.05  0.71  1  0  0.62
 0  92.95  0.86  1  0  0.41
 1  82.58  0.40  1  0  0.43
 0  89.33  1.30  1  1  0.46
 1  92.56  1.24  0  0  1.07
 0  90.98  0.57  1  1  0.37
 0  73.90  0.86  1  1  0.72
 0  99.70  0.84  1  0  0.89
 1  95.31  0.42  1  0  0.31
 0  67.05  0.71  0  1  0.27
 0  78.06  0.21  0  0  0.32
 1  95.31  1.16  0  0  0.43
 1  86.10  0.71  0  1  0.79
 0  69.02  0.57  0  0  0.49
 0  67.44  0.33  0  1  0.92
 1  77.42  0.40  1  0  0.65
 0  85.75  1.34  1  1  0.59
 0  74.25  0.23  0  0  6.14
 0  89.33  1.30  1  0  0.68
 0  67.05  0.86  0  0  0.34
 1  67.05  0.71  1  0  0.60
 0  82.53  0.96  1  1  0.59
 1  92.56  0.33  1  1  0.54
 0  77.42  1.17  1  1  3.75
 1  70.67  0.27  1  0  0.72
 1  85.75  0.23  1  1  0.59
 1  97.46  1.06  0  0  2.93
 0  85.75  0.23  0  0  1.84
 1  77.42  1.17  0  1  0.63
 0  77.47  0.61  1  1  0.42
 0  60.30  0.73  0  0  0.41
 1  60.30  0.84  1  1  1.17
 0  87.33  1.11  1  0  0.35
 0  90.98  0.57  1  0  0.78
 1  60.30  0.73  1  1  0.79
 0  97.46  1.06  1  0  0.60
 0  61.05  0.95  0  1  0.71
 0  60.30  0.84  0  0  0.66
 1  73.90  0.71  0  1  0.74
 0  62.54  1.06  0  1  0.73
 1  78.06  0.21  1  1  0.83
 0  92.56  0.33  0  0  0.91
 0  72.67  1.11  1  1  1.61
 1  92.95  0.71  0  0  4.07
 1  67.44  0.33  1  1  0.49
 0  69.02  1.00  0  1  1.17
 0  98.95  0.62  1  0  0.78
