0  62.54  0.51  0  0 13.52
0  82.58  0.40  0  1  1.63
0  70.67  0.27  0  0  1.67
1  92.56  1.24  0  1  1.36
1  97.46  1.06  0  1  1.53
1  90.98  1.00  0  1  0.93
1  86.10  0.71  0  0  1.02
1  82.53  0.61  0  0  1.53
1  73.90  0.71  0  1  7.92
1  77.42  1.17  0  1  4.24
1  85.75  1.34  0  1  1.76
0  61.05  0.62  0  0  1.70
1  87.33  1.11  0  1  1.06
1  72.67  1.11  0  1  0.75
0  61.05  0.95  0  0  0.76
1  73.90  0.86  0  1  2.33
0  60.30  0.84  0  0  0.99
0  95.31  0.42  0  0  1.59
0  89.33  0.27  0  0  1.32
1  82.58  1.17  0  1  0.89
0  64.69  0.42  0  0  1.87
0  72.67  0.46  0  0  0.71
1  99.70  0.84  0  1  2.23
1  89.33  1.30  0  1  0.74
0  92.56  0.33  0  0  0.83
0  64.69  1.16  0  1  1.69
0  69.02  1.00  0  0  0.83
1  77.47  0.61  0  0  1.18
1  98.95  0.62  0  0  1.16
1  77.47  0.96  0  1  3.38
1  81.94  1.37  0  1  1.96
1  95.31  1.16  0  1  2.78
0  97.46  0.51  0  0  0.89
0  81.94  0.21  0  0  1.19
1  98.95  0.95  0  1  1.20
0  69.02  0.57  0  0  1.89
1  92.95  0.71  0  1  2.42
0  67.44  0.33  0  0  0.75
0  77.42  0.40  0  0  0.78
0  74.25  0.23  0  0  0.73
0  62.54  1.06  0  0  3.34
1  92.95  0.86  0  1  1.05
0  70.67  1.30  0  0  1.68
0  87.33  0.46  0  0  3.00
1  74.25  1.34  0  1  2.19
1  86.10  0.86  0  1  1.12
0  85.75  0.23  0  0  1.46
1  99.70  0.73  0  1  2.63
0  78.06  0.21  0  0  0.95
1  90.98  0.57  0  0  1.57
0  67.05  0.71  0  1  3.49
0  60.30  0.73  0  0  0.61
0  67.05  0.86  0  0  0.68
0  67.44  1.24  0  0  1.82
1  82.53  0.96  0  1  1.21
1  78.06  1.37  0  1  0.67
1  97.46  1.06  0  1  0.53
1  92.95  0.86  0  1  1.16
0  64.69  0.42  0  0  3.49
1  87.33  1.11  0  1  1.25
0  95.31  0.42  0  0  1.44
1  73.90  0.71  0  1  3.17
0  69.02  0.57  0  1  1.45
0  67.05  0.71  0  1  1.42
0  77.42  0.40  0  0  1.02
1  86.10  0.86  0  1  1.99
0  72.67  0.46  0  0  1.16
1  98.95  0.95  0  1  0.72
0  97.46  0.51  0  0  0.71
1  77.47  0.61  0  0  2.09
0  78.06  0.21  0  0  0.70
1  74.25  1.34  0  1  0.67
1  85.75  1.34  0  1  1.38
0  89.33  0.27  0  0  0.68
1  73.90  0.86  0  1  1.63
1  89.33  1.30  0  1  0.68
1  82.53  0.61  0  0  1.71
0  64.69  1.16  0  0  1.18
0  82.58  0.40  0  0  0.80
1  82.53  0.96  0  1  0.73
1  82.58  1.17  0  1  0.64
1  92.95  0.71  0  1  2.08
1  99.70  0.73  0  1  0.75
0  62.54  0.51  0  0  0.97
0  92.56  0.33  0  0  0.60
0  70.67  0.27  0  0  0.90
0  87.33  0.46  0  0  0.56
0  81.94  0.21  0  0  0.73
1  77.47  0.96  0  1  0.78
0  85.75  0.23  0  0  0.60
0  67.05  0.86  0  0  0.92
0  70.67  1.30  0  1  0.65
1  98.95  0.62  0  1  1.18
1  86.10  0.71  0  1  1.82
0  61.05  0.95  0  0  0.70
1  92.56  1.24  0  1  0.97
0  60.30  0.73  0  0  0.97
0  62.54  1.06  0  0  0.86
0  61.05  0.62  0  0  0.63
0  60.30  0.84  0  0  0.69
1  90.98  1.00  0  1  1.38
1  77.42  1.17  0  1  1.10
0  74.25  0.23  0  0  0.61
1  99.70  0.84  0  1  2.01
0  69.02  1.00  0  0  0.92
1  72.67  1.11  0  1  1.97
1  90.98  0.57  0  0  1.13
0  67.44  0.33  0  0  1.42
1  81.94  1.37  0  1  1.58
1  95.31  1.16  0  1  1.45
1  78.06  1.37  0  1  0.72
0  67.44  1.24  0  0  0.56
1  99.70  0.73  0  1  3.20
0  60.30  0.73  0  0  0.84
1  77.42  1.17  0  1  0.62
0  74.25  0.23  0  0  0.61
0  69.02  0.57  0  0  0.69
0  62.54  1.06  0  0  0.72
0  95.31  0.42  0  0  1.01
0  64.69  0.42  0  0  0.85
1  95.31  1.16  0  1  0.52
0  60.30  0.84  0  0  0.75
0  67.05  0.71  0  0  0.58
1  73.90  0.71  0  1  1.42
1  86.10  0.71  0  1  0.86
0  70.67  1.30  0  0  0.82
1  92.95  0.86  0  1  0.93
0  85.75  0.23  0  0  0.84
0  67.44  1.24  0  0  0.68
0  61.05  0.62  0  0  0.60
1  81.94  1.37  0  1  0.80
0  87.33  0.46  0  0  1.57
0  72.67  0.46  0  0  2.45
0  81.94  0.21  0  0  0.63
0  67.05  0.86  0  1  4.24
1  98.95  0.95  0  1  0.81
1  72.67  1.11  0  0  3.39
0  69.02  1.00  0  1  1.40
1  85.75  1.34  0  1  0.86
1  86.10  0.86  0  1  1.29
1  92.95  0.71  0  1  1.18
1  78.06  1.37  0  1  0.55
1  90.98  1.00  0  1  0.54
1  82.58  1.17  0  1  0.50
1  87.33  1.11  0  1  0.55
1  73.90  0.86  0  1  1.14
0  78.06  0.21  0  1  0.64
1  82.53  0.96  0  1  0.70
1  98.95  0.62  0  1  5.08
0  89.33  0.27  0  0  0.57
0  61.05  0.95  0  0  0.78
1  74.25  1.34  0  1  2.27
0  62.54  0.51  0  0  0.68
0  82.58  0.40  0  0  1.03
0  67.44  0.33  0  0  5.35
0  77.42  0.40  0  0  0.89
0  64.69  1.16  0  0  0.77
1  82.53  0.61  0  1  2.86
0  92.56  0.33  0  0  1.26
1  90.98  0.57  0  0  1.47
0  97.46  0.51  0  0  1.48
0  70.67  0.27  0  0  2.09
1  77.47  0.61  0  1  2.41
1  97.46  1.06  0  1  0.58
1  92.56  1.24  0  1  0.44
1  99.70  0.84  0  1  0.75
1  89.33  1.30  0  1  0.84
