 0  62.54  0.51  1  1 10.21
 0  77.42  0.40  0  0  3.66
 0  73.90  0.71  0  0  2.59
 0  61.05  0.62  1  0  3.01
 2  86.10  0.71  0  0  2.19
 3  98.95  0.95  0  2  2.29
 3  92.56  1.24  0  3  4.46
 1  77.47  0.96  0  0  2.41
 2  87.33  0.46  0  1  2.99
 3  92.95  0.86  0  2  2.80
 1  78.06  1.37  0  0  1.12
 3  87.33  1.11  0  1  1.05
 1  78.06  1.37  1  0  0.80
 1  73.90  0.86  0  0  0.68
 2  92.56  0.33  0  1  2.09
 2  90.98  0.57  0  2  0.80
 2  97.46  0.51  0  2  0.73
 0  78.06  0.21  0  1  0.87
 3  92.95  0.86  1  2  4.28
 1  69.02  1.00  0  0  1.11
 0  67.05  0.71  1  0  0.82
 0  67.05  0.71  0  1  0.78
 3  85.75  1.34  0  1  1.00
 3  86.10  0.86  1  1  1.36
 3  89.33  1.30  1  2  3.25
 1  77.42  1.17  0  2  2.07
 1  77.42  1.17  1  1  2.68
 3  95.31  1.16  0  3  1.81
 1  64.69  1.16  0  0  1.16
 2  89.33  0.27  0  2  1.39
 1  60.30  0.84  0  0  0.98
 3  86.10  0.86  0  3  4.36
 1  67.05  0.86  1  0  1.23
 0  78.06  0.21  1  1  1.70
 0  69.02  0.57  0  1  1.14
 2  81.94  0.21  1  1  1.70
 0  77.42  0.40  1  1  2.17
 0  60.30  0.73  1  0  1.14
 1  69.02  1.00  1  0  1.03
 1  64.69  1.16  1  0  1.14
 3  97.46  1.06  0  3  1.21
 0  74.25  0.23  1  0  1.58
 1  67.44  1.24  1  0  0.72
 3  87.33  1.11  1  2  2.05
 1  61.05  0.95  0  0  0.85
 1  74.25  1.34  0  1  2.75
 3  82.53  0.96  0  2  2.58
 0  69.02  0.57  1  0  1.63
 1  77.47  0.96  1  0  1.09
 2  99.70  0.73  1  3  1.26
 3  81.94  1.37  1  1  1.46
 2  92.95  0.71  1  2  2.93
 3  89.33  1.30  0  2  2.05
 2  81.94  0.21  0  2  0.79
 0  67.44  0.33  1  1  0.97
 0  73.90  0.71  1  0  0.63
 3  99.70  0.84  1  3  1.99
 0  77.47  0.61  0  3  2.27
 0  70.67  0.27  1  0  1.06
 1  67.44  1.24  0  0  3.26
 0  74.25  0.23  0  0  0.76
 1  60.30  0.84  1  1  0.78
 2  82.58  0.40  0  3  2.52
 1  62.54  1.06  0  0  1.50
 0  61.05  0.62  0  0  2.14
 2  95.31  0.42  1  3  1.40
 0  60.30  0.73  0  0  2.12
 2  92.95  0.71  0  2  1.42
 1  61.05  0.95  1  0  0.98
 3  82.58  1.17  0  2  3.10
 3  82.53  0.96  1  2  1.15
 3  90.98  1.00  0  3  0.64
 2  99.70  0.73  0  3  0.82
 3  97.46  1.06  1  2  0.49
 2  95.31  0.42  0  3  0.63
 2  85.75  0.23  1  3  1.45
 2  82.53  0.61  1  2  3.35
 1  70.67  1.30  1  1  1.24
 2  98.95  0.62  0  3  1.29
 1  72.67  1.11  0  0  0.90
 2  89.33  0.27  1  1  1.18
 0  62.54  0.51  0  0  0.79
 2  82.58  0.40  1  1  1.33
 0  67.44  0.33  0  0  1.07
 3  90.98  1.00  1  1  0.98
 3  92.56  1.24  1  3  0.62
 0  77.47  0.61  1  2  0.94
 3  82.58  1.17  1  1  1.97
 2  97.46  0.51  1  0  0.72
 3  95.31  1.16  1  2  0.92
 3  81.94  1.37  0  0  0.79
 2  98.95  0.62  1  3  1.02
 2  90.98  0.57  1  1  0.77
 2  82.53  0.61  0  1  0.85
 2  92.56  0.33  1  2  0.72
 1  73.90  0.86  1  0  0.57
 1  70.67  1.30  0  1  0.65
 2  86.10  0.71  1  1  1.28
 1  72.67  1.11  1  0  0.87
 0  72.67  0.46  0  2  3.80
 0  64.69  0.42  0  1  2.17
 0  70.67  0.27  0  1  7.84
 0  72.67  0.46  1  0  0.64
 2  87.33  0.46  1  2  0.99
 1  62.54  1.06  1  0  0.83
 3  85.75  1.34  1  3  1.56
 1  74.25  1.34  1  0  2.28
 3  99.70  0.84  0  3  2.25
 0  64.69  0.42  1  0  0.84
 1  67.05  0.86  0  1  1.92
 2  85.75  0.23  0  3  2.26
 3  98.95  0.95  1  3  0.66
 3  85.75  1.34  0  2  4.40
 3  89.33  1.30  1  3  2.54
 0  77.47  0.61  0  2  1.99
 1  78.06  1.37  1  1  1.19
 0  62.54  0.51  0  0  0.75
 2  97.46  0.51  0  3  0.79
 2  87.33  0.46  1  3  1.05
 1  62.54  1.06  1  0  1.55
 2  98.95  0.62  1  3  1.45
 3  86.10  0.86  1  2  0.88
 1  77.42  1.17  1  1  0.94
 1  72.67  1.11  1  0  0.63
 1  73.90  0.86  0  0  1.31
 0  64.69  0.42  1  0  1.01
 1  77.47  0.96  1  1  0.82
 0  72.67  0.46  1  1  0.80
 0  67.05  0.71  0  0  1.54
 2  99.70  0.73  0  3  1.11
 3  97.46  1.06  1  2  0.74
 1  60.30  0.84  1  0  0.77
 1  64.69  1.16  0  0  0.74
 3  82.53  0.96  0  1  0.52
 0  60.30  0.73  1  0  0.64
 2  85.75  0.23  1  3  0.69
 1  74.25  1.34  1  0  0.69
 0  62.54  0.51  1  0  0.64
 2  90.98  0.57  0  1  0.91
 0  69.02  0.57  0  1  1.36
 3  89.33  1.30  0  3  1.12
 0  67.44  0.33  1  0  0.93
 1  73.90  0.86  1  1  1.14
 2  81.94  0.21  1  2  0.71
 0  73.90  0.71  0  2  1.95
 1  77.42  1.17  0  2  2.30
 3  86.10  0.86  0  3  1.47
 2  99.70  0.73  1  2  1.54
 3  87.33  1.11  1  1  2.12
 3  99.70  0.84  0  3  0.90
 2  90.98  0.57  1  3  0.92
 2  92.95  0.71  0  3  0.80
 0  70.67  0.27  1  1  1.22
 3  81.94  1.37  1  1  0.92
 1  78.06  1.37  0  0  0.87
 0  67.44  0.33  0  0  1.14
 2  86.10  0.71  0  2  2.25
 1  70.67  1.30  1  0  1.45
 1  72.67  1.11  0  1  0.90
 2  85.75  0.23  0  2  1.95
 0  61.05  0.62  1  0  0.74
 2  86.10  0.71  1  3  1.05
 2  82.53  0.61  1  2  2.95
 3  85.75  1.34  1  1  2.51
 3  90.98  1.00  0  3  0.71
 3  92.95  0.86  1  3  1.89
 1  69.02  1.00  0  0  0.92
 3  97.46  1.06  0  3  2.43
 3  81.94  1.37  0  3  1.20
 3  98.95  0.95  1  3  1.00
 1  74.25  1.34  0  0  1.22
 0  64.69  0.42  0  0  2.18
 2  95.31  0.42  1  2  1.51
 1  64.69  1.16  1  0  0.77
 2  82.58  0.40  0  3  0.98
 3  82.58  1.17  1  1  1.13
 3  95.31  1.16  0  0  0.73
 2  81.94  0.21  0  2  2.08
 3  99.70  0.84  1  3  0.80
 0  69.02  0.57  1  0  0.71
 3  92.95  0.86  0  3  0.66
 1  61.05  0.95  0  0  0.62
 1  67.44  1.24  1  1  0.47
 3  98.95  0.95  0  3  0.70
 0  77.42  0.40  0  1  1.55
 3  92.56  1.24  1  0  0.67
 2  92.56  0.33  1  3  0.60
 0  78.06  0.21  1  2  0.56
 0  78.06  0.21  0  2  2.12
 0  60.30  0.73  0  0  0.61
 1  60.30  0.84  0  0  0.55
 3  90.98  1.00  1  3  0.73
 1  70.67  1.30  0  0  1.64
 0  74.25  0.23  0  2  1.09
 0  67.05  0.71  1  0  0.83
 3  87.33  1.11  0  3  1.19
 1  62.54  1.06  0  0  0.95
 1  67.44  1.24  0  1  0.59
 3  95.31  1.16  1  2  2.65
 3  82.58  1.17  0  3  0.46
 0  61.05  0.62  0  1  1.18
 1  67.05  0.86  0  0  0.49
 0  77.42  0.40  1  0  1.05
 0  70.67  0.27  0  1  2.22
 2  82.53  0.61  0  0  0.58
 3  82.53  0.96  1  2  1.22
 2  89.33  0.27  0  3  0.80
 0  74.25  0.23  1  1  2.75
 1  69.02  1.00  1  0  0.88
