,Unnamed: 0,cnd,sub,cue,block,level_4,p,nll,bic,model,best_model
0,0,cj2cr,1,0,1,0,38.65626429985669,30.83988019594376,71.1167581344777,nll_unix_0,nll_unix_0
1,1,cj2cr,1,0,1,1,42.919251586596616,30.83988019594376,71.1167581344777,nll_unix_0,nll_unix_0
2,2,cj2cr,1,0,1,0,60.32448521805155,57.527996067168495,124.49298987692714,nll_unix_1,nll_unix_0
3,3,cj2cr,1,0,1,1,49.99995618773086,57.527996067168495,124.49298987692714,nll_unix_1,nll_unix_0
4,4,cj2cr,1,0,1,0,37.864849611434266,48.837535549839814,107.1120688422698,nll_uniy_0,nll_unix_0
5,5,cj2cr,1,0,1,1,49.98363171339052,48.837535549839814,107.1120688422698,nll_uniy_0,nll_unix_0
6,6,cj2cr,1,0,1,0,61.987664422589425,39.54736305619185,88.53172385497389,nll_uniy_1,nll_unix_0
7,7,cj2cr,1,0,1,1,49.998873993868536,39.54736305619185,88.53172385497389,nll_uniy_1,nll_unix_0
8,8,cj2cr,1,0,1,0,0.9999993343650176,30.84719626220064,75.84988913828656,nll_glc_0,nll_unix_0
9,9,cj2cr,1,0,1,1,-38.27679590675441,30.84719626220064,75.84988913828656,nll_glc_0,nll_unix_0
10,10,cj2cr,1,0,1,2,43.51175381309668,30.84719626220064,75.84988913828656,nll_glc_0,nll_unix_0
11,11,cj2cr,1,0,1,0,-0.9515615577001459,29.998121577768693,74.15173976942266,nll_glc_1,nll_unix_0
12,12,cj2cr,1,0,1,1,21.188878077134408,29.998121577768693,74.15173976942266,nll_glc_1,nll_unix_0
13,13,cj2cr,1,0,1,2,40.37915233322465,29.998121577768693,74.15173976942266,nll_glc_1,nll_unix_0
14,14,cj2cr,1,0,1,0,44.452932652465975,34.03977003377933,82.23503668144394,nll_gcc_eq_0,nll_unix_0
15,15,cj2cr,1,0,1,1,99.94927453482086,34.03977003377933,82.23503668144394,nll_gcc_eq_0,nll_unix_0
16,16,cj2cr,1,0,1,2,40.577563002017314,34.03977003377933,82.23503668144394,nll_gcc_eq_0,nll_unix_0
17,17,cj2cr,1,0,1,0,44.63846930954436,34.03544713235302,82.22639087859133,nll_gcc_eq_1,nll_unix_0
18,18,cj2cr,1,0,1,1,99.99857033025542,34.03544713235302,82.22639087859133,nll_gcc_eq_1,nll_unix_0
19,19,cj2cr,1,0,1,2,41.226210040330685,34.03544713235302,82.22639087859133,nll_gcc_eq_1,nll_unix_0
20,20,cj2cr,1,0,1,0,0.01699034098198382,51.237524623651545,116.63054586118835,nll_gcc_eq_2,nll_unix_0
21,21,cj2cr,1,0,1,1,52.69182378489236,51.237524623651545,116.63054586118835,nll_gcc_eq_2,nll_unix_0
22,22,cj2cr,1,0,1,2,49.993483604063094,51.237524623651545,116.63054586118835,nll_gcc_eq_2,nll_unix_0
23,23,cj2cr,1,0,1,0,44.64382005627425,34.03555590238887,82.22660841866303,nll_gcc_eq_3,nll_unix_0
24,24,cj2cr,1,0,1,1,99.99628122608964,34.03555590238887,82.22660841866303,nll_gcc_eq_3,nll_unix_0
25,25,cj2cr,1,0,1,2,41.185964992023465,34.03555590238887,82.22660841866303,nll_gcc_eq_3,nll_unix_0
26,26,cj2cr,1,0,2,0,52.75194682097045,38.39753127130374,86.23206028519769,nll_unix_0,nll_unix_0
27,27,cj2cr,1,0,2,1,49.97566407140987,38.39753127130374,86.23206028519769,nll_unix_0,nll_unix_0
28,28,cj2cr,1,0,2,0,47.94128393362791,51.89186607352356,113.22072988963731,nll_unix_1,nll_unix_0
29,29,cj2cr,1,0,2,1,49.999667441716966,51.89186607352356,113.22072988963731,nll_unix_1,nll_unix_0
30,30,cj2cr,1,0,2,0,51.47656774829936,46.27983192411579,101.99666159082176,nll_uniy_0,nll_unix_0
31,31,cj2cr,1,0,2,1,49.9980985798265,46.27983192411579,101.99666159082176,nll_uniy_0,nll_unix_0
32,32,cj2cr,1,0,2,0,47.3347873877704,44.04819042397118,97.53337859053255,nll_uniy_1,nll_unix_0
33,33,cj2cr,1,0,2,1,49.995131808362636,44.04819042397118,97.53337859053255,nll_uniy_1,nll_unix_0
